adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,https://www.sec.gov/dera/data/financial-statement-data-sets.html 
0000004904-20-000062,4904,AMERICAN ELECTRIC POWER CO INC,4911,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,614-716-1000,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,US,NY,134922640,KINGSPORT UTILITIES INC,19660906,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200806,17:00.0,0,1,aep-20200630_htm.xml,8,81027 73986 92487 1702494 50172 6879 1721781,
0000004904-20-000069,4904,AMERICAN ELECTRIC POWER CO INC,4911,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,614-716-1000,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,US,NY,134922640,KINGSPORT UTILITIES INC,19660906,1-LAF,0,1231,8-K,20200831,,,20200915,04:00.0,1,0,aep-20200915_htm.xml,1,,
0000004904-20-000073,4904,AMERICAN ELECTRIC POWER CO INC,4911,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,614-716-1000,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,US,NY,134922640,KINGSPORT UTILITIES INC,19660906,1-LAF,0,1231,8-K/A,20200831,,,20200916,23:00.0,0,0,aep-20200915_htm.xml,1,,
0000004962-20-000073,4962,AMERICAN EXPRESS CO,6199,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,US,NY,134922250,,,1-LAF,0,1231,8-K,20200630,,,20200715,04:00.0,0,0,axp-20200715_htm.xml,1,,
0000004962-20-000076,4962,AMERICAN EXPRESS CO,6199,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,US,NY,134922250,,,1-LAF,0,1231,8-K,20200731,,,20200724,04:00.0,0,0,axp-20200724_htm.xml,1,,
0000004962-20-000079,4962,AMERICAN EXPRESS CO,6199,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,US,NY,134922250,,,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200724,24:00.0,0,1,axp-20200630_htm.xml,1,,
0000004962-20-000083,4962,AMERICAN EXPRESS CO,6199,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,US,NY,134922250,,,1-LAF,0,1231,8-K,20200831,,,20200817,02:00.0,0,0,axp-20200817_htm.xml,1,,
0000004962-20-000086,4962,AMERICAN EXPRESS CO,6199,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,US,NY,134922250,,,1-LAF,0,1231,8-K,20200831,,,20200915,01:00.0,0,0,axp-20200915_htm.xml,1,,
0000004969-20-000041,4969,AMERICAN EXPRESS CREDIT CORP,6153,US,NY,NEW YORK,10285,200 VESEY STREET,,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,,US,DE,111988350,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200811,34:00.0,0,1,aexc-20200630_htm.xml,1,,
0000004977-20-000101,4977,AFLAC INC,6321,US,GA,COLUMBUS,31999,1932 WYNNTON RD,,7063233431,US,GA,COLUMBUS,31999,1932 WYNNTON ROAD,,US,GA,581167100,AMERICAN FAMILY CORP,19920306,1-LAF,0,1231,8-K,20200731,,,20200728,36:00.0,0,0,afl8kearningsrelease-q_htm.xml,1,,
0000004977-20-000104,4977,AFLAC INC,6321,US,GA,COLUMBUS,31999,1932 WYNNTON RD,,7063233431,US,GA,COLUMBUS,31999,1932 WYNNTON ROAD,,US,GA,581167100,AMERICAN FAMILY CORP,19920306,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200729,54:00.0,0,1,afl6302010q_htm.xml,1,,
0000004977-20-000106,4977,AFLAC INC,6321,US,GA,COLUMBUS,31999,1932 WYNNTON RD,,7063233431,US,GA,COLUMBUS,31999,1932 WYNNTON ROAD,,US,GA,581167100,AMERICAN FAMILY CORP,19920306,1-LAF,0,1231,8-K,20200731,,,20200729,02:00.0,0,0,afl8-kxjuly2020regfd_htm.xml,1,,
0000005513-20-000109,5513,UNUM GROUP,6321,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,423-294-1011,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,US,DE,621598430,UNUMPROVIDENT CORP,19990702,1-LAF,0,1231,8-K,20200731,,,20200728,31:00.0,0,0,unm-20200728_htm.xml,1,,
0000005513-20-000111,5513,UNUM GROUP,6321,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,423-294-1011,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,US,DE,621598430,UNUMPROVIDENT CORP,19990702,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200729,14:00.0,0,1,unm-20200630_htm.xml,1,,
0000005513-20-000123,5513,UNUM GROUP,6321,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,423-294-1011,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,US,DE,621598430,UNUMPROVIDENT CORP,19990702,1-LAF,0,1231,8-K,20200831,,,20200826,56:00.0,0,0,unm-8xkx20200826_htm.xml,1,,
0000006201-20-000081,6201,AMERICAN AIRLINES GROUP INC.,4512,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,8179631234,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,US,DE,751825172,AMR CORP,19920703,1-LAF,0,1231,8-K,20200731,,,20200716,46:00.0,0,0,a8k071620jetbluestrate_htm.xml,2,4515,
0000006201-20-000087,6201,AMERICAN AIRLINES GROUP INC.,4512,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,8179631234,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,US,DE,751825172,AMR CORP,19920703,1-LAF,0,1231,8-K,20200731,,,20200723,00:00.0,0,0,a8k072320earningsrelea_htm.xml,2,4515,
0000006201-20-000088,6201,AMERICAN AIRLINES GROUP INC.,4512,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,8179631234,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,US,DE,751825172,AMR CORP,19920703,1-LAF,0,1231,8-K,20200731,,,20200723,02:00.0,0,0,a8k072320financingcomm_htm.xml,2,4515,
0000006201-20-000089,6201,AMERICAN AIRLINES GROUP INC.,4512,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,8179631234,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,US,DE,751825172,AMR CORP,19920703,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200723,05:00.0,0,1,q2202010-q063020_htm.xml,2,4515,
0000006201-20-000091,6201,AMERICAN AIRLINES GROUP INC.,4512,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,8179631234,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,US,DE,751825172,AMR CORP,19920703,1-LAF,0,1231,8-K,20200831,,,20200825,00:00.0,0,0,a8k082520lettertoemplo_htm.xml,2,4515,
0000006281-20-000119,6281,ANALOG DEVICES INC,3674,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,7813294700,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,US,MA,42348234,,,1-LAF,0,1031,8-K,20200831,,,20200819,32:00.0,0,0,adi-20200818_htm.xml,1,,
0000006281-20-000122,6281,ANALOG DEVICES INC,3674,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,7813294700,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,US,MA,42348234,,,1-LAF,0,1031,8-K,20200831,,,20200819,03:00.0,0,0,adi-20200819_htm.xml,1,,
0000006281-20-000123,6281,ANALOG DEVICES INC,3674,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,7813294700,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,US,MA,42348234,,,1-LAF,0,1031,10-Q,20200731,2020,Q3,20200819,06:00.0,0,1,adi-20200801_htm.xml,1,,
0000006281-20-000131,6281,ANALOG DEVICES INC,3674,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,7813294700,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,US,MA,42348234,,,1-LAF,0,1031,8-K,20200831,,,20200910,00:00.0,0,0,adi-20200910_htm.xml,1,,
0000006845-20-000019,6845,"APOGEE ENTERPRISES, INC.",3231,US,MN,MINNEAPOLIS,55435,4400 WEST 78TH STREET,SUITE 520,6128351874,US,MN,MINNEAPOLIS,55435,4400 WEST 78TH STREET,SUITE 520,US,MN,410919654,APOGEE ENTERPRISES INC,19920703,1-LAF,0,229,10-Q,20200531,2021,Q1,20200709,07:00.0,0,1,apog-202053010xq_htm.xml,1,,
0000006845-20-000023,6845,"APOGEE ENTERPRISES, INC.",3231,US,MN,MINNEAPOLIS,55435,4400 WEST 78TH STREET,SUITE 520,6128351874,US,MN,MINNEAPOLIS,55435,4400 WEST 78TH STREET,SUITE 520,US,MN,410919654,APOGEE ENTERPRISES INC,19920703,1-LAF,0,229,8-K,20200930,,,20200917,56:00.0,0,0,apog-20200917_htm.xml,1,,
0000006951-20-000032,6951,APPLIED MATERIALS INC /DE,3674,US,CA,SANTA CLARA,95054-3299,3050 BOWERS AVE,,4085635300,US,CA,SANTA CLARA,95054-3299,3050 BOWERS AVE,,US,DC,941655526,APPLIED MATERIALS TECHNOLOGY INC,19730319,1-LAF,0,1031,8-K,20200731,,,20200813,07:00.0,0,0,amat-20200813_htm.xml,1,,
0000006951-20-000037,6951,APPLIED MATERIALS INC /DE,3674,US,CA,SANTA CLARA,95054-3299,3050 BOWERS AVE,,4085635300,US,CA,SANTA CLARA,95054-3299,3050 BOWERS AVE,,US,DC,941655526,APPLIED MATERIALS TECHNOLOGY INC,19730319,1-LAF,0,1031,10-Q,20200731,2020,Q3,20200820,08:00.0,0,1,amat-20200726_htm.xml,1,,
0000006955-20-000039,6955,ENERPAC TOOL GROUP CORP,3590,US,WI,MENOMONEE FALLS,53051,ATTN:  BRYAN JOHNSON,N86 W12500 WESTBROOK CROSSING,262-293-1697,US,WI,MENOMONEE FALLS,53051,ATTN:  BRYAN JOHNSON,N86 W12500 WESTBROOK CROSSING,US,WI,390168610,ACTUANT CORP,20010110,1-LAF,0,831,10-Q,20200531,2020,Q3,20200701,13:00.0,0,1,epac10q5312020_htm.xml,1,,
0000007039-20-000125,7039,TRECORA RESOURCES,2911,US,TX,SUGAR LAND,77478,"1650 HWY 6 SOUTH, SUITE 190",,281-980-5522,US,TX,SUGAR LAND,77478,"1650 HWY 6 SOUTH, SUITE 190",,US,DE,751256622,ARABIAN AMERICAN DEVELOPMENT CO,20000811,2-ACC,0,1231,10-Q,20200630,2020,Q2,20200806,18:00.0,0,1,trecoraq2202010q_htm.xml,1,,
0000007039-20-000134,7039,TRECORA RESOURCES,2911,US,TX,SUGAR LAND,77478,"1650 HWY 6 SOUTH, SUITE 190",,281-980-5522,US,TX,SUGAR LAND,77478,"1650 HWY 6 SOUTH, SUITE 190",,US,DE,751256622,ARABIAN AMERICAN DEVELOPMENT CO,20000811,2-ACC,0,1231,8-K,20200930,,,20200929,49:00.0,0,0,trec-20200928_htm.xml,1,,
0000007084-20-000022,7084,ARCHER-DANIELS-MIDLAND CO,2070,US,IL,CHICAGO,60601,77 W. WACKER DR.,,312-634-8233,US,IL,CHICAGO,60601,77 W. WACKER DR.,,US,DE,410129150,ARCHER DANIELS MIDLAND CO,19920703,1-LAF,0,1231,8-K,20200731,,,20200730,42:00.0,0,0,adm-2020630x8k_htm.xml,1,,
0000007084-20-000025,7084,ARCHER-DANIELS-MIDLAND CO,2070,US,IL,CHICAGO,60601,77 W. WACKER DR.,,312-634-8233,US,IL,CHICAGO,60601,77 W. WACKER DR.,,US,DE,410129150,ARCHER DANIELS MIDLAND CO,19920703,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200730,39:00.0,0,1,adm-2020630x10q_htm.xml,1,,
0000007332-20-000054,7332,SOUTHWESTERN ENERGY CO,1311,US,TX,SPRING,77389,10000 ENERGY DRIVE,,832-796-4700,US,TX,SPRING,77389,10000 ENERGY DRIVE,,US,DE,710205415,ARKANSAS WESTERN GAS CO,19790917,1-LAF,0,1231,8-K,20200731,,,20200731,48:00.0,1,0,swn-20200730_htm.xml,1,,
0000007332-20-000055,7332,SOUTHWESTERN ENERGY CO,1311,US,TX,SPRING,77389,10000 ENERGY DRIVE,,832-796-4700,US,TX,SPRING,77389,10000 ENERGY DRIVE,,US,DE,710205415,ARKANSAS WESTERN GAS CO,19790917,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200731,57:00.0,0,1,swn-20200630_htm.xml,1,,
0000007332-20-000060,7332,SOUTHWESTERN ENERGY CO,1311,US,TX,SPRING,77389,10000 ENERGY DRIVE,,832-796-4700,US,TX,SPRING,77389,10000 ENERGY DRIVE,,US,DE,710205415,ARKANSAS WESTERN GAS CO,19790917,1-LAF,0,1231,8-K,20200831,,,20200820,17:00.0,0,0,swn-20200816_htm.xml,1,,
0000007789-20-000048,7789,ASSOCIATED BANC-CORP,6022,US,WI,GREEN BAY,54301,433 MAIN STREET,,920-491-7500,US,WI,GREEN BAY,54301,433 MAIN STREET,,US,WI,391098068,ASSOCIATED BANK SERVICES INC,19770626,1-LAF,0,1231,8-K,20200731,,,20200723,18:00.0,0,0,asb06302020form8-kpres_htm.xml,1,,
0000007789-20-000052,7789,ASSOCIATED BANC-CORP,6022,US,WI,GREEN BAY,54301,433 MAIN STREET,,920-491-7500,US,WI,GREEN BAY,54301,433 MAIN STREET,,US,WI,391098068,ASSOCIATED BANK SERVICES INC,19770626,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200805,18:00.0,0,1,asb-20200630_htm.xml,1,,
0000007789-20-000058,7789,ASSOCIATED BANC-CORP,6022,US,WI,GREEN BAY,54301,433 MAIN STREET,,920-491-7500,US,WI,GREEN BAY,54301,433 MAIN STREET,,US,WI,391098068,ASSOCIATED BANK SERVICES INC,19770626,1-LAF,0,1231,8-K,20200831,,,20200914,04:00.0,0,0,asb-20200914_htm.xml,1,,
0000008063-20-000036,8063,ASTRONICS CORP,3728,US,NY,EAST AURORA,14052-2191,130 COMMERCE WAY,-,716-805-1599,US,NY,EAST AURORA,14052-2191,130 COMMERCE WAY,-,US,NY,160959303,ASTRONICS LUMINESCENT INC,19711209,1-LAF,0,1231,8-K,20200731,,,20200731,08:00.0,0,0,atro-20200731_htm.xml,1,,
0000008063-20-000042,8063,ASTRONICS CORP,3728,US,NY,EAST AURORA,14052-2191,130 COMMERCE WAY,-,716-805-1599,US,NY,EAST AURORA,14052-2191,130 COMMERCE WAY,-,US,NY,160959303,ASTRONICS LUMINESCENT INC,19711209,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200804,08:00.0,0,1,atro-20200627_htm.xml,1,,
0000008670-20-000025,8670,AUTOMATIC DATA PROCESSING INC,7374,US,NJ,ROSELAND,7068,ONE ADP BOULVARD,,9739745000,US,NJ,ROSELAND,7068,ONE ADP BOULEVARD,,US,DE,221467904,,,1-LAF,0,630,8-K,20200731,,,20200729,11:00.0,0,0,adp-20200729_htm.xml,1,,
0000008670-20-000032,8670,AUTOMATIC DATA PROCESSING INC,7374,US,NJ,ROSELAND,7068,ONE ADP BOULVARD,,9739745000,US,NJ,ROSELAND,7068,ONE ADP BOULEVARD,,US,DE,221467904,,,1-LAF,1,630,10-K,20200630,2020,FY,20200805,29:00.0,0,1,adp-20200630_htm.xml,1,,
0000008858-20-000025,8858,AVNET INC,5065,US,AZ,PHOENIX,85034,2211 SOUTH 47TH STREET,,4806432000,US,AZ,PHOENIX,85034,2211 SOUTH 47TH STREET,,US,NY,111890605,,,1-LAF,1,630,10-K,20200630,2020,FY,20200814,11:00.0,0,1,avt-20200627x10k_htm.xml,1,,
0000008868-20-000021,8868,AVON PRODUCTS INC,2844,US,NY,SUFFERN,10901,1 AVON PLACE,,8453692000,US,NY,SUFFERN,10901,1 AVON PLACE,,US,NY,130544597,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200814,05:00.0,0,1,avp-20200630_htm.xml,1,,
0000008947-20-000135,8947,AZZ INC,3640,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,8178100095,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,US,TX,750948250,AZTEC MANUFACTURING CO,20000911,1-LAF,0,229,8-K,20200630,,,20200702,11:00.0,1,0,azz-20200702_htm.xml,1,,
0000008947-20-000149,8947,AZZ INC,3640,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,8178100095,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,US,TX,750948250,AZTEC MANUFACTURING CO,20000911,1-LAF,0,229,8-K,20200630,,,20200707,05:00.0,1,0,shareholderpresentatio_htm.xml,1,,
0000008947-20-000153,8947,AZZ INC,3640,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,8178100095,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,US,TX,750948250,AZTEC MANUFACTURING CO,20000911,1-LAF,0,229,8-K,20200630,,,20200708,15:00.0,1,0,azz-20200702_htm.xml,1,,
0000008947-20-000158,8947,AZZ INC,3640,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,8178100095,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,US,TX,750948250,AZTEC MANUFACTURING CO,20000911,1-LAF,0,229,8-K,20200630,,,20200709,16:00.0,1,0,azz-20200709_htm.xml,1,,
0000008947-20-000159,8947,AZZ INC,3640,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,8178100095,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,US,TX,750948250,AZTEC MANUFACTURING CO,20000911,1-LAF,0,229,10-Q,20200531,2021,Q1,20200709,18:00.0,0,1,azz-20200531_htm.xml,1,,
0000008947-20-000183,8947,AZZ INC,3640,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,8178100095,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,US,TX,750948250,AZTEC MANUFACTURING CO,20000911,1-LAF,0,229,8-K,20200831,,,20200821,06:00.0,1,0,azz-20200821_htm.xml,1,,
0000008947-20-000185,8947,AZZ INC,3640,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,8178100095,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,US,TX,750948250,AZTEC MANUFACTURING CO,20000911,1-LAF,0,229,8-K,20200930,,,20200922,19:00.0,1,0,azz-20200922_htm.xml,1,,
0000009346-20-000067,9346,PROTECTIVE INSURANCE CORP,6331,US,IN,CARMEL,46032,111 CONGRESSIONAL BLVD,STE 500,317-452-7426,US,IN,CARMEL,46032,111 CONGRESSIONAL BLVD,STE 500,US,IN,350160330,BALDWIN & LYONS INC,19930908,2-ACC,0,1231,10-Q,20200630,2020,Q2,20200805,57:00.0,0,1,form10q_htm.xml,1,,
