adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks
0000003570-19-000092,3570,CHENIERE ENERGY INC,4924,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,7133755000,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,US,DE,954352386,CHENIERE ENERGY INC,19960827,1-LAF,0,1231,8-K,20191031,2019,FY,20191101,02:00.0,0,0,cei2019form8k3rdqtrer_htm.xml,1,
0000003570-19-000095,3570,CHENIERE ENERGY INC,4924,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,7133755000,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,US,DE,954352386,CHENIERE ENERGY INC,19960827,1-LAF,0,1231,8-K,20191031,2019,FY,20191105,07:00.0,0,0,cei2019form8knovemberl_htm.xml,1,
0000003570-19-000102,3570,CHENIERE ENERGY INC,4924,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,7133755000,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,US,DE,954352386,CHENIERE ENERGY INC,19960827,1-LAF,0,1231,8-K,20191031,2019,FY,20191106,57:00.0,0,0,cei2019form8knovemberp_htm.xml,1,
0000003570-19-000109,3570,CHENIERE ENERGY INC,4924,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,7133755000,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,US,DE,954352386,CHENIERE ENERGY INC,19960827,1-LAF,0,1231,8-K,20191130,2019,FY,20191210,43:00.0,0,0,cei2019form8kdecemberp_htm.xml,1,
0000004127-19-000047,4127,SKYWORKS SOLUTIONS INC,3674,US,MA,WOBURN,1801,20 SYLVAN ROAD,,6179355150,US,MA,WOBURN,1801,20 SYLVAN ROAD,20 SYLVAN ROAD,US,DE,42302115,SKYWORKS SOLUTIONS INC,20020627,1-LAF,0,930,8-K,20191031,2020,Q1,20191112,17:00.0,0,0,q419earningsreleasefor_htm.xml,1,
0000004127-19-000049,4127,SKYWORKS SOLUTIONS INC,3674,US,MA,WOBURN,1801,20 SYLVAN ROAD,,6179355150,US,MA,WOBURN,1801,20 SYLVAN ROAD,20 SYLVAN ROAD,US,DE,42302115,SKYWORKS SOLUTIONS INC,20020627,1-LAF,1,930,10-K,20190930,2019,FY,20191114,22:00.0,0,1,fy1910k92719_htm.xml,1,
0000004281-19-000121,4281,ARCONIC INC.,3350,US,PA,PITTSBURGH,15212-5872,201 ISABELLA STREET,SUITE 200,(412) 553-1940,US,NY,NEW YORK,10022-4608,390 PARK AVENUE,,US,DE,250317820,ALCOA INC.,20141003,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191105,33:00.0,0,1,form10q3q19_htm.xml,1,
0000004457-19-000052,4457,AMERCO /NV/,7510,US,NV,RENO,89511,5555 KIETZKE LANE STE 100,,7756886300,US,NV,RENO,89511,5555 KIETZKE LANE,SUITE 100,US,NV,880106815,AMERCO,19770926,1-LAF,0,331,10-Q,20190930,2020,Q2,20191106,25:00.0,0,1,uhal-20190930_htm.xml,1,
0000004457-19-000056,4457,AMERCO /NV/,7510,US,NV,RENO,89511,5555 KIETZKE LANE STE 100,,7756886300,US,NV,RENO,89511,5555 KIETZKE LANE,SUITE 100,US,NV,880106815,AMERCO,19770926,1-LAF,0,331,8-K,20191031,2019,Q3,20191112,15:00.0,0,0,uhal-20191106_htm.xml,1,
0000004457-19-000068,4457,AMERCO /NV/,7510,US,NV,RENO,89511,5555 KIETZKE LANE STE 100,,7756886300,US,NV,RENO,89511,5555 KIETZKE LANE,SUITE 100,US,NV,880106815,AMERCO,19770926,1-LAF,0,331,8-K,20191130,2019,Q3,20191209,16:00.0,0,0,uhal-20191204_htm.xml,1,
0000004457-19-000071,4457,AMERCO /NV/,7510,US,NV,RENO,89511,5555 KIETZKE LANE STE 100,,7756886300,US,NV,RENO,89511,5555 KIETZKE LANE,SUITE 100,US,NV,880106815,AMERCO,19770926,1-LAF,0,331,8-K,20191130,2019,Q3,20191210,11:00.0,0,0,uhal-20191210_fixed_htm.xml,1,
0000004904-19-000046,4904,AMERICAN ELECTRIC POWER CO INC,4911,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,614-716-1000,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,US,NY,134922640,KINGSPORT UTILITIES INC,19660906,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,13:00.0,0,0,a3q20198-kpressrelease_htm.xml,1,
0000004904-19-000050,4904,AMERICAN ELECTRIC POWER CO INC,4911,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,614-716-1000,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,US,NY,134922640,KINGSPORT UTILITIES INC,19660906,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191024,42:00.0,0,1,aep20193q10q_htm.xml,8,81027 73986 92487 1702494 50172 6879 1721781
0000004904-19-000053,4904,AMERICAN ELECTRIC POWER CO INC,4911,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,614-716-1000,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,US,NY,134922640,KINGSPORT UTILITIES INC,19660906,1-LAF,0,1231,8-K,20191130,2019,FY,20191205,10:00.0,0,0,a8kdepartureofdirector_htm.xml,1,
0000004962-19-000074,4962,AMERICAN EXPRESS CO,6199,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,US,NY,134922250,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191015,03:00.0,0,0,axp-20191015_htm.xml,1,
0000004962-19-000081,4962,AMERICAN EXPRESS CO,6199,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,US,NY,134922250,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191018,33:00.0,0,0,axp-20191018_htm.xml,1,
0000004962-19-000086,4962,AMERICAN EXPRESS CO,6199,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,US,NY,134922250,,,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191021,56:00.0,0,1,axp-20190930_htm.xml,1,
0000004962-19-000091,4962,AMERICAN EXPRESS CO,6199,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,US,NY,134922250,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191115,02:00.0,0,0,axp-20191115_htm.xml,1,
0000004962-19-000094,4962,AMERICAN EXPRESS CO,6199,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,US,NY,134922250,,,1-LAF,0,1231,8-K,20191231,2019,FY,20191216,02:00.0,0,0,axp-20191216_htm.xml,1,
0000004962-19-000098,4962,AMERICAN EXPRESS CO,6199,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,50TH FLOOR,US,NY,134922250,,,1-LAF,0,1231,8-K,20191130,2019,FY,20191217,17:00.0,0,0,axp-20191211_htm.xml,1,
0000004969-19-000065,4969,AMERICAN EXPRESS CREDIT CORP,6153,US,NY,NEW YORK,10285,200 VESEY STREET,,2126402000,US,NY,NEW YORK,10285,200 VESEY STREET,,US,DE,111988350,,,4-NON,0,1231,10-Q,20190930,2019,Q3,20191105,53:00.0,0,1,aexc-20190930_htm.xml,1,
0000004977-19-000171,4977,AFLAC INC,6321,US,GA,COLUMBUS,31999,1932 WYNNTON RD,,7063233431,US,GA,COLUMBUS,31999,1932 WYNNTON ROAD,,US,GA,581167100,AMERICAN FAMILY CORP,19920306,1-LAF,0,1231,8-K,20191031,2019,FY,20191025,12:00.0,0,0,afl8kearningsrelease-q_htm.xml,1,
0000004977-19-000175,4977,AFLAC INC,6321,US,GA,COLUMBUS,31999,1932 WYNNTON RD,,7063233431,US,GA,COLUMBUS,31999,1932 WYNNTON ROAD,,US,GA,581167100,AMERICAN FAMILY CORP,19920306,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191025,32:00.0,0,1,afl9301910q_htm.xml,1,
0000004977-19-000179,4977,AFLAC INC,6321,US,GA,COLUMBUS,31999,1932 WYNNTON RD,,7063233431,US,GA,COLUMBUS,31999,1932 WYNNTON ROAD,,US,GA,581167100,AMERICAN FAMILY CORP,19920306,1-LAF,0,1231,8-K,20191031,2019,FY,20191113,20:00.0,0,0,afl8-kxnovember2019_htm.xml,1,
0000004977-19-000183,4977,AFLAC INC,6321,US,GA,COLUMBUS,31999,1932 WYNNTON RD,,7063233431,US,GA,COLUMBUS,31999,1932 WYNNTON ROAD,,US,GA,581167100,AMERICAN FAMILY CORP,19920306,1-LAF,0,1231,8-K,20191130,2019,FY,20191202,17:00.0,0,0,afl8-kxdecember2019_htm.xml,1,
0000004977-19-000194,4977,AFLAC INC,6321,US,GA,COLUMBUS,31999,1932 WYNNTON RD,,7063233431,US,GA,COLUMBUS,31999,1932 WYNNTON ROAD,,US,GA,581167100,AMERICAN FAMILY CORP,19920306,1-LAF,0,1231,8-K,20191231,2019,FY,20191227,14:00.0,0,0,afl8-kxdecember2019xre_htm.xml,1,
0000005272-19-000054,5272,AMERICAN INTERNATIONAL GROUP INC,6331,US,NY,NEW YORK,10038,175 WATER STREET,,2127707000,US,NY,NEW YORK,10038,175 WATER STREET,,US,DE,132592361,AMERICAN INTERNATIONAL ENTERPRISES INC,19700507,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191101,15:00.0,0,1,aig-20190930_htm.xml,1,
0000005513-19-000124,5513,UNUM GROUP,6321,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,423-294-1011,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,US,DE,621598430,UNUMPROVIDENT CORP,19990702,1-LAF,0,1231,8-K,20191031,2019,FY,20191021,37:00.0,0,0,a102119form8-kcoverpag_htm.xml,1,
0000005513-19-000131,5513,UNUM GROUP,6321,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,423-294-1011,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,US,DE,621598430,UNUMPROVIDENT CORP,19990702,1-LAF,0,1231,8-K,20191031,2019,FY,20191030,20:00.0,0,0,unm093020198-kcover_htm.xml,1,
0000005513-19-000133,5513,UNUM GROUP,6321,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,423-294-1011,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,US,DE,621598430,UNUMPROVIDENT CORP,19990702,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191030,52:00.0,0,1,unm09302019-10xq_htm.xml,1,
0000005513-19-000138,5513,UNUM GROUP,6321,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,423-294-1011,US,TN,CHATTANOOGA,37402,1 FOUNTAIN SQUARE,,US,DE,621598430,UNUMPROVIDENT CORP,19990702,1-LAF,0,1231,8-K,20191231,2019,FY,20191217,10:00.0,0,0,form8-kinvestormeeting_htm.xml,1,
0000006201-19-000060,6201,AMERICAN AIRLINES GROUP INC.,4512,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,8179631234,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,US,DE,751825172,AMR CORP,19920703,1-LAF,0,1231,8-K,20190930,2019,Q3,20191009,01:00.0,0,0,a8k100919q319investoru_htm.xml,2,4515
0000006201-19-000066,6201,AMERICAN AIRLINES GROUP INC.,4512,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,8179631234,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,US,DE,751825172,AMR CORP,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,34:00.0,0,0,a8k102419earningsrelea_htm.xml,2,4515
0000006201-19-000067,6201,AMERICAN AIRLINES GROUP INC.,4512,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,8179631234,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,US,DE,751825172,AMR CORP,19920703,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191024,38:00.0,0,1,q3201910-q093019_htm.xml,2,4515
0000006201-19-000070,6201,AMERICAN AIRLINES GROUP INC.,4512,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,8179631234,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,US,DE,751825172,AMR CORP,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191108,00:00.0,0,0,a8k11819-2019amendment_htm.xml,2,4515
0000006201-19-000072,6201,AMERICAN AIRLINES GROUP INC.,4512,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,8179631234,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,US,DE,751825172,AMR CORP,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191112,12:00.0,0,0,a8k11819-737maxflightc_htm.xml,2,4515
0000006201-19-000074,6201,AMERICAN AIRLINES GROUP INC.,4512,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,8179631234,US,TX,FORT WORTH,76155,1 SKYVIEW DRIVE,,US,DE,751825172,AMR CORP,19920703,1-LAF,0,1231,8-K,20191130,2019,FY,20191212,01:00.0,0,0,a8k121219-737maxflight_htm.xml,2,4515
0000006281-19-000140,6281,ANALOG DEVICES INC,3674,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,7813294700,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,US,MA,42348234,,,1-LAF,0,1031,8-K,20191130,2020,Q1,20191126,03:00.0,0,0,adi-20191126_htm.xml,1,
0000006281-19-000143,6281,ANALOG DEVICES INC,3674,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,7813294700,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,US,MA,42348234,,,1-LAF,0,1031,8-K,20191130,2020,Q1,20191126,09:00.0,0,0,adi-20191125_htm.xml,1,
0000006281-19-000144,6281,ANALOG DEVICES INC,3674,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,7813294700,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,US,MA,42348234,,,1-LAF,1,1031,10-K,20191031,2019,FY,20191126,26:00.0,0,1,adi-20191102_htm.xml,1,
0000006281-19-000151,6281,ANALOG DEVICES INC,3674,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,7813294700,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,US,MA,42348234,,,1-LAF,0,1031,8-K,20191130,2020,Q1,20191205,21:00.0,0,0,adi-20191205_htm.xml,1,
0000006281-19-000154,6281,ANALOG DEVICES INC,3674,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,7813294700,US,MA,NORWOOD,2062,ONE TECHNOLOGY WAY,,US,MA,42348234,,,1-LAF,0,1031,8-K,20191130,2020,Q1,20191213,45:00.0,0,0,adi-20191210_htm.xml,1,
0000006845-19-000028,6845,"APOGEE ENTERPRISES, INC.",3231,US,MN,MINNEAPOLIS,55435,4400 WEST 78TH STREET,SUITE 520,6128351874,US,MN,MINNEAPOLIS,55435,4400 WEST 78TH STREET,SUITE 520,US,MN,410919654,APOGEE ENTERPRISES INC,19920703,1-LAF,0,228,10-Q,20190831,2020,Q2,20191003,24:00.0,0,1,apog-2019083110xq_htm.xml,1,
0000006845-19-000030,6845,"APOGEE ENTERPRISES, INC.",3231,US,MN,MINNEAPOLIS,55435,4400 WEST 78TH STREET,SUITE 520,6128351874,US,MN,MINNEAPOLIS,55435,4400 WEST 78TH STREET,SUITE 520,US,MN,410919654,APOGEE ENTERPRISES INC,19920703,1-LAF,0,228,8-K,20191231,2019,FY,20191219,33:00.0,0,0,form8-kq3f20113019_htm.xml,1,
0000006885-19-000213,6885,STAGE STORES INC,5651,US,TX,HOUSTON,77027,2425 WEST LOOP SOUTH,,7136675601,US,TX,HOUSTON,77027,2425 WEST LOOP SOUTH,,US,NV,911826900,APPAREL RETAILERS INC,19930908,2-ACC,0,131,8-K,20191130,2019,FY,20191121,53:00.0,0,0,a2019q3earningsrelease_htm.xml,1,
0000006885-19-000215,6885,STAGE STORES INC,5651,US,TX,HOUSTON,77027,2425 WEST LOOP SOUTH,,7136675601,US,TX,HOUSTON,77027,2425 WEST LOOP SOUTH,,US,NV,911826900,APPAREL RETAILERS INC,19930908,2-ACC,0,131,8-K,20191130,2019,FY,20191122,05:00.0,0,0,nov2019presentation8k_htm.xml,1,
0000006885-19-000224,6885,STAGE STORES INC,5651,US,TX,HOUSTON,77027,2425 WEST LOOP SOUTH,,7136675601,US,TX,HOUSTON,77027,2425 WEST LOOP SOUTH,,US,NV,911826900,APPAREL RETAILERS INC,19930908,2-ACC,0,131,10-Q,20191031,2019,Q3,20191212,34:00.0,0,1,ssi-1102201910q_htm.xml,1,
0000006885-19-000229,6885,STAGE STORES INC,5651,US,TX,HOUSTON,77027,2425 WEST LOOP SOUTH,,7136675601,US,TX,HOUSTON,77027,2425 WEST LOOP SOUTH,,US,NV,911826900,APPAREL RETAILERS INC,19930908,2-ACC,0,131,8-K,20191231,2019,FY,20191230,03:00.0,0,0,a20191230icrconference_htm.xml,1,
0000006951-19-000038,6951,APPLIED MATERIALS INC /DE,3674,US,CA,SANTA CLARA,95054-3299,3050 BOWERS AVE,,4085635300,US,CA,SANTA CLARA,95054-3299,3050 BOWERS AVE,,US,DC,941655526,APPLIED MATERIALS TECHNOLOGY INC,19730319,1-LAF,0,1031,8-K,20191031,2019,FY,20191114,22:00.0,0,0,amat-20191114_htm.xml,1,
0000006951-19-000046,6951,APPLIED MATERIALS INC /DE,3674,US,CA,SANTA CLARA,95054-3299,3050 BOWERS AVE,,4085635300,US,CA,SANTA CLARA,95054-3299,3050 BOWERS AVE,,US,DC,941655526,APPLIED MATERIALS TECHNOLOGY INC,19730319,1-LAF,1,1031,10-K,20191031,2019,FY,20191213,07:00.0,0,1,amat-20191027_htm.xml,1,
0000006955-19-000033,6955,ACTUANT CORP,3590,US,WI,MENOMONEE FALLS,53051,ATTN:  BRYAN JOHNSON,N86 W12500 WESTBROOK CROSSING,262-293-1697,US,WI,MENOMONEE FALLS,53051,ATTN:  BRYAN JOHNSON,N86 W12500 WESTBROOK CROSSING,US,WI,390168610,APPLIED POWER INC,19920703,1-LAF,1,831,10-K,20190831,2019,FY,20191029,41:00.0,0,1,atu-20190831.xml,1,
0000007039-19-000196,7039,TRECORA RESOURCES,2911,US,TX,SUGAR LAND,77478,"1650 HWY 6 SOUTH, SUITE 190",,281-980-5522,US,TX,SUGAR LAND,77478,"1650 HWY 6 SOUTH, SUITE 190",,US,DE,751256622,ARABIAN AMERICAN DEVELOPMENT CO,20000811,2-ACC,0,1231,10-Q,20190930,2019,Q3,20191108,08:00.0,0,1,trec-20190930.xml,1,
0000007084-19-000033,7084,ARCHER-DANIELS-MIDLAND CO,2070,US,IL,CHICAGO,60601,77 W. WACKER DR.,,312-634-8233,US,IL,CHICAGO,60601,77 W. WACKER DR.,,US,DE,410129150,ARCHER DANIELS MIDLAND CO,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191031,58:00.0,0,0,adm-2019930x8k_htm.xml,1,
0000007084-19-000034,7084,ARCHER-DANIELS-MIDLAND CO,2070,US,IL,CHICAGO,60601,77 W. WACKER DR.,,312-634-8233,US,IL,CHICAGO,60601,77 W. WACKER DR.,,US,DE,410129150,ARCHER DANIELS MIDLAND CO,19920703,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191031,02:00.0,0,1,adm-2019930x10q_htm.xml,1,
0000007332-19-000051,7332,SOUTHWESTERN ENERGY CO,1311,US,TX,SPRING,77389,10000 ENERGY DRIVE,,832-796-4700,US,TX,SPRING,77389,10000 ENERGY DRIVE,,US,DE,710205415,ARKANSAS WESTERN GAS CO,19790917,1-LAF,0,1231,8-K,20190930,2019,Q3,20191009,17:00.0,0,0,swn-20191008_htm.xml,1,
0000007332-19-000066,7332,SOUTHWESTERN ENERGY CO,1311,US,TX,SPRING,77389,10000 ENERGY DRIVE,,832-796-4700,US,TX,SPRING,77389,10000 ENERGY DRIVE,,US,DE,710205415,ARKANSAS WESTERN GAS CO,19790917,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191025,01:00.0,0,1,swn-20190930_htm.xml,1,
0000007332-19-000068,7332,SOUTHWESTERN ENERGY CO,1311,US,TX,SPRING,77389,10000 ENERGY DRIVE,,832-796-4700,US,TX,SPRING,77389,10000 ENERGY DRIVE,,US,DE,710205415,ARKANSAS WESTERN GAS CO,19790917,1-LAF,0,1231,8-K,20191031,2019,FY,20191025,10:00.0,0,0,swn-20191024_htm.xml,1,
0000007789-19-000053,7789,ASSOCIATED BANC-CORP,6022,US,WI,GREEN BAY,54301,433 MAIN STREET,,920-491-7500,US,WI,GREEN BAY,54301,433 MAIN STREET,,US,WI,391098068,ASSOCIATED BANK SERVICES INC,19770626,1-LAF,0,1231,8-K,20191031,2019,FY,20191025,34:00.0,0,0,asb09302019form8-kpres_htm.xml,1,
0000007789-19-000058,7789,ASSOCIATED BANC-CORP,6022,US,WI,GREEN BAY,54301,433 MAIN STREET,,920-491-7500,US,WI,GREEN BAY,54301,433 MAIN STREET,,US,WI,391098068,ASSOCIATED BANK SERVICES INC,19770626,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191031,36:00.0,0,1,asb09302019form10-q_htm.xml,1,
0000007789-19-000062,7789,ASSOCIATED BANC-CORP,6022,US,WI,GREEN BAY,54301,433 MAIN STREET,,920-491-7500,US,WI,GREEN BAY,54301,433 MAIN STREET,,US,WI,391098068,ASSOCIATED BANK SERVICES INC,19770626,1-LAF,0,1231,8-K,20191031,2019,FY,20191104,18:00.0,0,0,form8-kcoverpage4q19in_htm.xml,1,
0000007789-19-000065,7789,ASSOCIATED BANC-CORP,6022,US,WI,GREEN BAY,54301,433 MAIN STREET,,920-491-7500,US,WI,GREEN BAY,54301,433 MAIN STREET,,US,WI,391098068,ASSOCIATED BANK SERVICES INC,19770626,1-LAF,0,1231,8-K,20191031,2019,FY,20191106,39:00.0,0,0,form8-kcoverpage4q19in_htm.xml,1,
0000007789-19-000069,7789,ASSOCIATED BANC-CORP,6022,US,WI,GREEN BAY,54301,433 MAIN STREET,,920-491-7500,US,WI,GREEN BAY,54301,433 MAIN STREET,,US,WI,391098068,ASSOCIATED BANK SERVICES INC,19770626,1-LAF,0,1231,8-K,20191031,2019,FY,20191112,21:00.0,0,0,form8-kcoverpagenovemb_htm.xml,1,
