cik,name,countryba,stprba,cityba,zipba,bas1,form,fye,fy,fp,instance,ticker,latitude,longitude
829323,"INUVO, INC.",US,AR,LITTLE ROCK,72201,"500 PRESIDENT CLINTON AVE., STE. 300",10-K,1231.0,2019.0,FY,inuv-20191231_htm.xml,inuv,34.747437,-92.26543
717423,MURPHY OIL CORP,US,AR,EL DORADO,71731-7000,300 PEACH STREET,10-K,1231.0,2019.0,FY,mur-20191231x10k_htm.xml,mur-,Missing,Missing
1573516,MURPHY USA INC.,US,AR,EL DORADO,71730-5836,200 PEACH STREET,10-K,1231.0,2019.0,FY,musa1231201910-kdoc_htm.xml,musa,33.21404,-92.664665
798287,PAM TRANSPORTATION SERVICES INC,US,AR,TONTITOWN,72770,297 WEST HENRI DE TONTI BLVD,10-K,1231.0,2019.0,FY,ptsi-20191231.xml,ptsi,Missing,Missing
90498,SIMMONS FIRST NATIONAL CORP,US,AR,PINE BLUFF,71601,501 MAIN STREET,10-K,1231.0,2019.0,FY,sfnc-123119x10k_htm.xml,sfnc,34.224327,-92.00343
100493,"TYSON FOODS, INC.",US,AR,SPRINGDALE,72762-6999,2200 DON TYSON PARKWAY,10-K,930.0,2019.0,FY,tsn201910kq4_htm.xml,tsn2,36.15265,-94.15141
1620280,UNITI GROUP INC.,US,AR,LITTLE ROCK,72211,10802 EXECUTIVE CENTER DRIVE,10-K,1231.0,2019.0,FY,unit-10k_20191231_htm.xml,unit,34.73929,-92.394585
883945,USA TRUCK INC,US,AR,VAN BUREN,72956,3200 INDUSTRIAL PARK ROAD,10-K,1231.0,2019.0,FY,usak-20191231x10k_htm.xml,usak,35.42165,-94.32234
104169,WALMART INC.,US,AR,BENTONVILLE,72716,702 SOUTHWEST 8TH ST,10-K,131.0,2019.0,FY,wmtform10-kx1312020_htm.xml,wmtf,36.364277,-94.21683
1282266,"WINDSTREAM HOLDINGS, INC.",US,AR,LITTLE ROCK,72212,4001 RODNEY PARHAM RD.,10-K,1231.0,2019.0,FY,a201910k_htm.xml,a201,34.788857,-92.39947
1300938,"ABCO ENERGY, INC.",US,AZ,TUCSON,85712,2100 NORTH WILMOT #211,10-K,1231.0,2019.0,FY,abce-20191231.xml,abce,32.24856,-110.857925
727207,"ACCELERATE DIAGNOSTICS, INC",US,AZ,TUCSON,85714,3950 S. COUNTRY CLUB ROAD #470,10-K,1231.0,2019.0,FY,axdx-123119x10k_htm.xml,axdx,32.1763,-110.926384
1342936,"ADVANCED VOICE RECOGNITION SYSTEMS, INC",US,AZ,"SCOTTSDALE,",85260,7659 E. WOOD DRIVE,10-K,1231.0,2019.0,FY,avoi-20191231_htm.xml,avoi,33.605362,-111.91442
1532390,ALKALINE WATER CO INC,US,AZ,SCOTTSDALE,85254,14646 N. KIERLAND BLVD.,10-K,331.0,2019.0,FY,wter-20200331.xml,wter,33.61942,-111.93092
1606698,ALPINE 4 TECHNOLOGIES LTD.,US,AZ,PHOENIX,85016,4742 N. 24TH STREET,10-K,1231.0,2019.0,FY,alpp-20191231.xml,alpp,33.506798,-112.03024
1047127,"AMKOR TECHNOLOGY, INC.",US,AZ,TEMPE,85284,2045 EAST INNOVATION CIRCLE,10-K,1231.0,2019.0,FY,amkr12311910k_htm.xml,amkr,33.336086,-111.89972
1015383,"AMMO, INC.",US,AZ,SCOTTSDALE,85260,7681 E. GRAY RD,10-K,331.0,2019.0,FY,poww-20200331.xml,poww,33.612465,-111.91482
720500,AMTECH SYSTEMS INC,US,AZ,TEMPE,85281,131 SOUTH CLARK DRIVE,10-K,930.0,2019.0,FY,asys-20190930.xml,asys,33.42879,-111.89873
879911,"APPLIED ENERGETICS, INC.",US,AZ,TUCSON,85705,"2480 W RUTHRAUFF ROAD, SUITE 140Q",10-K,1231.0,2019.0,FY,aerg-20191231.xml,aerg,32.294296,-111.020035
1666267,"ARRESTAGE INTERNATIONAL, INC.",US,AZ,SCOTTSDALE,85254,7047 E. GREENWAY PKWY,10-K,1231.0,2019.0,FY,cik0001666267-20191231.xml,cik0,33.6243,-111.938644
1362190,AUDIOEYE INC,US,AZ,TUCSON,85711,5210 E. WILLIAMS CIRCLE,10-K,1231.0,2019.0,FY,aeye-20191231.xml,aeye,32.220516,-110.88128
1083922,"AURASOURCE, INC.",US,AZ,CHANDLER,85286,1490 SOUTH PRICE ROAD,10-K,331.0,2019.0,FY,arao-20200331.xml,arao,33.28367,-111.891205
8858,AVNET INC,US,AZ,PHOENIX,85034,2211 SOUTH 47TH STREET,10-K,630.0,2020.0,FY,avt-20200627x10k_htm.xml,avt-,33.426666,-111.98131
1069183,"AXON ENTERPRISE, INC.",US,AZ,SCOTTSDALE,85255,17800 N. 85TH ST.,10-K,1231.0,2019.0,FY,a10kaaxn123119_htm.xml,a10k,33.64857,-111.89756
863436,BENCHMARK ELECTRONICS INC,US,AZ,TEMPE,85281,56 SOUTH ROCKFORD DRIVE,10-K,1231.0,2019.0,FY,bhe-20191231_htm.xml,bhe-,Missing,Missing
1632127,"CABLE ONE, INC.",US,AZ,PHOENIX,85012,210 E. EARLL DRIVE,10-K,1231.0,2019.0,FY,cabo20191231_10k_htm.xml,cabo,33.483883,-112.07063
790051,CARLISLE COMPANIES INC,US,AZ,SCOTTSDALE,85254,16430 N. SCOTTSDALE RD.,10-K,1231.0,2019.0,FY,csl-20191231_htm.xml,csl-,Missing,Missing
1690820,CARVANA CO.,US,AZ,TEMPE,85281,1930 W. RIO SALADO PARKWAY,10-K,1231.0,2019.0,FY,cvna-20191231_htm.xml,cvna,33.429836,-111.96967
278166,CAVCO INDUSTRIES INC.,US,AZ,PHOENIX,85012,3636 N CENTRAL AVE,10-K,331.0,2019.0,FY,cvco-2020328x10k_htm.xml,cvco,33.490074,-112.07379
1777319,CERBERUS CYBER SENTINEL CORP,US,AZ,SCOTTSDALE,85258,7333 E. DOUBLETREE,10-K,1231.0,2019.0,FY,cerbe-20191231.xml,cerb,Missing,Missing
1498542,"CIM INCOME NAV, INC.",US,AZ,PHOENIX,85016,2398 EAST CAMELBACK ROAD,10-K,1231.0,2019.0,FY,cinav-20191231.xml,cina,33.50933,-112.03045
1498547,"CIM REAL ESTATE FINANCE TRUST, INC.",US,AZ,PHOENIX,85016,2398 EAST CAMELBACK ROAD,10-K,1231.0,2019.0,FY,cmft-20191231.xml,cmft,33.50933,-112.03045
1580988,"COLE CREDIT PROPERTY TRUST V, INC.",US,AZ,PHOENIX,85016,2398 EAST CAMELBACK ROAD,10-K,1231.0,2019.0,FY,ccptv-20191231.xml,ccpt,33.50933,-112.03045
1572758,"COLE OFFICE & INDUSTRIAL REIT (CCIT II), INC.",US,AZ,PHOENIX,85016,"2398 EAST CAMELBACK ROAD, 4TH FLOOR",10-K,1231.0,2019.0,FY,ccitii-20191231.xml,ccit,33.50933,-112.03045
1614976,"COLE OFFICE & INDUSTRIAL REIT (CCIT III), INC.",US,AZ,PHOENIX,85016,2398 E CAMELBACK RD,10-K,1231.0,2019.0,FY,ccitii-20191231.xml,ccit,33.50933,-112.03045
1187953,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",US,AZ,PHOENIX,85029,2017 W PEORIA AVENUE,10-K,1231.0,2019.0,FY,celz-20191231.xml,celz,33.582054,-112.10243
1075736,"CREXENDO, INC.",US,AZ,TEMPE,85281,1615 S. 52ND STREET,10-K,1231.0,2019.0,FY,exe-20191231.xml,exe-,33.411224,-111.969505
1438423,EVERSPIN TECHNOLOGIES INC,US,AZ,CHANDLER,85226,5670 W. CHANDLER BOULEVARD,10-K,1231.0,2019.0,FY,mram-20191231.xml,mram,33.305386,-111.93975
1274494,"FIRST SOLAR, INC.",US,AZ,TEMPE,85281,350 WEST WASHINGTON STREET,10-K,1231.0,2019.0,FY,fslr10-k12x31x2019_htm.xml,fslr,33.440495,-111.9539
831259,FREEPORT-MCMORAN INC,US,AZ,PHOENIX,85004,333 NORTH CENTRAL AVENUE,10-K,1231.0,2019.0,FY,a2019form10-k_htm.xml,a201,33.451756,-112.07381
1434728,"GLOBAL WATER RESOURCES, INC.",US,AZ,PHOENIX,85027,21410 N. 19TH AVENUE,10-K,1231.0,2019.0,FY,gwrs-20191231_htm.xml,gwrs,33.68053,-112.099785
1609711,GODADDY INC.,US,AZ,SCOTTSDALE,85260,14455 N. HAYDEN ROAD,10-K,1231.0,2019.0,FY,gddy-20191231_htm.xml,gddy,33.617218,-111.90837
1434588,"GRAND CANYON EDUCATION, INC.",US,AZ,PHOENIX,85017,2600 W. CAMELBACK ROAD,10-K,1231.0,2019.0,FY,lope-20191231x10ka0a80b_htm.xml,lope,33.509483,-112.115005
1571804,GREEN VISION BIOTECHNOLOGY CORP.,US,AZ,TEMPE,85281,1255 W. RIO SALADO PARKWAY,10-K,1231.0,2018.0,FY,gvbt-20181231.xml,gvbt,33.430824,-111.956825
1360604,"HEALTHCARE TRUST OF AMERICA, INC.",US,AZ,SCOTTSDALE,85254,16435 N. SCOTTSDALE ROAD #320,10-K,1231.0,2019.0,FY,hta2019123110-k_htm.xml,hta2,Missing,Missing
1169987,"HTG MOLECULAR DIAGNOSTICS, INC",US,AZ,TUCSON,85706,3430 E. GLOBAL LOOP,10-K,1231.0,2019.0,FY,htgm-20191231.xml,htgm,32.140537,-110.91947
1397403,IMH FINANCIAL CORP,US,AZ,SCOTTSDALE,85253,"7001 NORTH SCOTTSDALE ROAD, SUITE 2050",10-K,1231.0,2019.0,FY,ifcn-20191231.xml,ifcn,Missing,Missing
82473,INNSUITES HOSPITALITY TRUST,US,AZ,PHOENIX,85020,INNSUITES HOTELS CENTRE,10-K,131.0,2019.0,FY,iht-20200131.xml,iht-,Missing,Missing
932696,INSIGHT ENTERPRISES INC,US,AZ,TEMPE,85283,6820 SOUTH HARL AVENUE,10-K,1231.0,2019.0,FY,nsit-10k_20191231_htm.xml,nsit,33.357925,-111.9665
1500123,ITEM 9 LABS CORP.,US,AZ,PHOENIX,85004,2727 NORTH 3RD STREET,10-K,930.0,2019.0,FY,inlb-20190930.xml,inlb,33.478134,-112.06943
1612630,JOINT CORP,US,AZ,SCOTTSDALE,85260,16767 N PERIMETER DRIVE,10-K,1231.0,2019.0,FY,jynt-20191231_htm.xml,jynt,33.639862,-111.89672
1614466,KIBUSH CAPITAL CORP,US,AZ,SCOTTSDALE,85250,5635 N. SCOTTSDALE ROAD,10-K,930.0,2019.0,FY,dlcr-20190930.xml,dlcr,33.521687,-111.925934
1492691,KNIGHT-SWIFT TRANSPORTATION HOLDINGS INC.,US,AZ,PHOENIX,85043,2200 SOUTH 75TH AVENUE,10-K,1231.0,2019.0,FY,knx-10k12312019_htm.xml,knx-,33.4279,-112.22116
1172178,LIBERTY STAR URANIUM & METALS CORP.,US,AZ,TUCSON,85701,2 EAST CONGRESS ST.,10-K,131.0,2019.0,FY,lbsr-20200131.xml,lbsr,32.221867,-110.97113
1391127,"LIMELIGHT NETWORKS, INC.",US,AZ,SCOTTSDALE,85257,1465 NORTH SCOTTSDALE ROAD,10-K,1231.0,2019.0,FY,llnw-20191231.xml,llnw,33.464527,-111.92623
1730732,LIVE INC,US,AZ,SCOTTSDALE,85258,7702 E DOUBLETREE RANCH RD,10-K,1231.0,2019.0,FY,live-20191231_htm.xml,live,33.564297,-111.91448
19411,MAGELLAN HEALTH INC,US,AZ,PHOENIX,85034,4801 E. WASHINGTON ST,10-K,1231.0,2019.0,FY,mgln-20191231x10kee13da_htm.xml,mgln,33.447315,-111.977844
833079,MERITAGE HOMES CORP,US,AZ,SCOTTSDALE,85260,8800 EAST RAINTREE DRIVE,10-K,1231.0,2019.0,FY,mth-20191231_htm.xml,mth-,33.618305,-111.89109
810332,MESA AIR GROUP INC,US,AZ,PHOENIX,85008,410 NORTH 44TH STREET,10-K,930.0,2019.0,FY,mesa-20190930.xml,mesa,33.452984,-111.987144
827054,MICROCHIP TECHNOLOGY INC,US,AZ,CHANDLER,85224-6199,2355 W CHANDLER BLVD,10-K,331.0,2019.0,FY,a2020-03x3110k_htm.xml,a202,33.305946,-111.88181
911109,MOBILE MINI INC,US,AZ,PHOENIX,85008,4646 E. VAN BUREN STREET,10-K,1231.0,2019.0,FY,mini-10k_20191231_htm.xml,mini,33.451145,-111.9813
1447380,MOBIVITY HOLDINGS CORP.,US,AZ,CHANDLER,85225,"55 NORTH ARIZONA PLACE, #310",10-K,1231.0,2019.0,FY,mfon-20191231.xml,mfon,33.304092,-111.84082
1507181,MOUNTAIN HIGH ACQUISITIONS CORP.,US,AZ,SCOTTSDALE,85254,6501 E. GREENWAY PKWY,10-K,331.0,2019.0,FY,myhi-20200331.xml,myhi,Missing,Missing
1571636,NANOFLEX POWER CORP,US,AZ,SCOTTSDALE,85260,"15333 N PIMA ROAD, SUITE 305",10-K,1231.0,2019.0,FY,opvs-20191231.xml,opvs,Missing,Missing
849399,NORTONLIFELOCK INC.,US,AZ,TEMPE,85281,60 E RIO SALADO PARKWAY,10-K,331.0,2019.0,FY,nlokfy2010-k_htm.xml,nlok,33.43055,-111.93709
1403853,"NUVERRA ENVIRONMENTAL SOLUTIONS, INC.",US,AZ,SCOTTSDALE,85253,6720 N. SCOTTSDALE ROAD,10-K,1231.0,2019.0,FY,nes-20191231.xml,nes-,33.538006,-111.925735
1097864,ON SEMICONDUCTOR CORP,US,AZ,PHOENIX,85008,5005 EAST MCDOWELL ROAD,10-K,1231.0,2019.0,FY,d864442d10k_htm.xml,d864,33.465557,-111.97183
764622,PINNACLE WEST CAPITAL CORP,US,AZ,PHOENIX,85004,400 NORTH FIFTH STREET,10-K,1231.0,2019.0,FY,pnw2019123110-kfinal_htm.xml,pnw2,33.453537,-112.06748
933972,"POWERVERDE, INC.",US,AZ,PHOENIX,85027,21615 N. 2ND AVENUE,10-K,1231.0,2019.0,FY,pwvi-20191231.xml,pwvi,33.6824,-112.07608
1101433,QUOTEMEDIA INC,US,AZ,FOUNTAIN HILLS,85268,17100 E SHEA BLVD,10-K,1231.0,2019.0,FY,qmci-20191231.xml,qmci,33.572067,-111.712875
1060391,"REPUBLIC SERVICES, INC.",US,AZ,PHOENIX,85054,18500 N. ALLIED WAY,10-K,1231.0,2019.0,FY,rsg-20191231_htm.xml,rsg-,Missing,Missing
84748,ROGERS CORP,US,AZ,CHANDLER,85224,2225 W CHANDLER BLVD,10-K,1231.0,2019.0,FY,rog-20191231x10k_htm.xml,rog-,33.30596,-111.88004
1577445,SCOUTCAM INC.,US,AZ,SCOTTSDALE,85260,"14201 N. HAYDEN ROAD, SUITE A-1",10-K,1231.0,2019.0,FY,inllpq-20191231.xml,inll,33.614048,-111.908424
1680378,"SENESTECH, INC.",US,AZ,FLAGSTAFF,86004,3140 N. CADEN COURT,10-K,1231.0,2019.0,FY,snes-20191231.xml,snes,35.212498,-111.5977
1443611,SINGLEPOINT INC.,US,AZ,PHOENIX,85018,2999 NORTH 44TH STREET,10-K,1231.0,2019.0,FY,sing-20191231.xml,sing,33.481895,-111.98698
1001838,SOUTHERN COPPER CORP/,US,AZ,PHOENIX,85014,1440 E. MISSOURI AVENUE,10-K,1231.0,2019.0,FY,scco-20191231x10k32f1e0_htm.xml,scco,33.516483,-112.05078
1575515,"SPROUTS FARMERS MARKET, INC.",US,AZ,PHOENIX,85054,5455 E. HIGH ST.,10-K,1231.0,2019.0,FY,sfm-10k_20191229_htm.xml,sfm-,Missing,Missing
1538990,STORE CAPITAL CORP,US,AZ,SCOTTSDALE,85255,8377 EAST HARTFORD DRIVE,10-K,1231.0,2019.0,FY,stor-20191231x10k_htm.xml,stor,33.64119,-111.89764
1778805,"TARONIS FUELS, INC.",US,AZ,PHOENIX,85013,"300 W.CLARENDON AVENUE, STE.230",10-K,1231.0,2019.0,FY,trnf-20191231.xml,trnf,33.49147,-112.07825
1389067,TAUTACHROME INC.,US,AZ,ORO VALLEY,85755,1846 E. INNOVATION PARK DRIVE,10-K,1231.0,2019.0,FY,ttcm-20191231.xml,ttcm,32.434647,-110.94482
1562476,TAYLOR MORRISON HOME CORP,US,AZ,SCOTTSDALE,85251,"4900 N. SCOTTSDALE ROAD, SUITE 2000",10-K,1231.0,2019.0,FY,tmhc-123119x10k_htm.xml,tmhc,Missing,Missing
1455684,"TPI COMPOSITES, INC",US,AZ,SCOTTSDALE,85253,8501 N SCOTTSDALE ROAD,10-K,1231.0,2019.0,FY,tpic-20191231.xml,tpic,Missing,Missing
100122,TUCSON ELECTRIC POWER CO,US,AZ,TUCSON,85701,88 EAST BROADWAY,10-K,1231.0,2019.0,FY,tep10k12312019_htm.xml,tep1,32.22114,-110.96964
1693696,UNITED CAPITAL CONSULTANTS INC.,US,AZ,MESA,85204,3210 EAST CORALBELL AVENUE,10-K,1231.0,2019.0,FY,uncc-20191231.xml,uncc,33.404575,-111.76202
101984,UNIVERSAL ELECTRONICS INC,US,AZ,SCOTTSDALE,85254,15147 N SCOTTSDALE RD,10-K,1231.0,2019.0,FY,ueic-20191231.xml,ueic,Missing,Missing
1261654,UNIVERSAL TECHNICAL INSTITUTE INC,US,AZ,SCOTTSDALE,85254,16220 NORTH SCOTTSDALE ROAD,10-K,930.0,2019.0,FY,uti-20190930.xml,uti-,Missing,Missing
1507385,"VEREIT, INC.",US,AZ,PHOENIX,85016,2325 E. CAMELBACK ROAD,10-K,1231.0,2019.0,FY,vereit1231201910-k_htm.xml,vere,33.50929,-112.032326
1682745,VERRA MOBILITY CORP,US,AZ,MESA,85201,1150 N. ALMA SCHOOL ROAD,10-K,1231.0,2019.0,FY,vrrm-10k_20191231_htm.xml,vrrm,Missing,Missing
884219,VIAD CORP,US,AZ,PHOENIX,85004-4565,1850 NORTH CENTRAL AVE,10-K,1231.0,2019.0,FY,vvi-10k_20191231_htm.xml,vvi-,33.468094,-112.073784
1085243,"VIRTRA, INC",US,AZ,TEMPE,85284,7970 S. KYRENE ROAD,10-K,1231.0,2019.0,FY,vtsi-20191231.xml,vtsi,33.343903,-111.945755
1393772,"WEED, INC.",US,AZ,TUCSON,85750,4920 N. POST TRAIL,10-K,1231.0,2019.0,FY,budz-20191231.xml,budz,32.29687,-110.86662
1212545,WESTERN ALLIANCE BANCORPORATION,US,AZ,PHOENIX,85004,ONE E. WASHINGTON STREET,10-K,1231.0,2019.0,FY,wal1231201910-k_htm.xml,wal1,Missing,Missing
1702924,"WRAP TECHNOLOGIES, INC.",US,AZ,TEMPE,85281,1817 W 4TH STREET,10-K,1231.0,2019.0,FY,wrtc-20191231.xml,wrtc,33.426437,-111.96897
1279620,"ZONED PROPERTIES, INC.",US,AZ,SCOTTSDALE,85260,14269 N. 87TH STREET #205,10-K,1231.0,2019.0,FY,zdpy-20191231.xml,zdpy,33.614937,-111.89349
1305323,ZOVIO INC,US,AZ,CHANDLER,85286,1811 E NORTHROP BLVD,10-K,1231.0,2019.0,FY,zvo-20191231_htm.xml,zvo-,Missing,Missing
1770787,"10X GENOMICS, INC.",US,CA,PLEASANTON,94588,6230 STONERIDGE MALL ROAD,10-K,1231.0,2019.0,FY,txg-20191231.xml,txg-,37.69437,-121.924545
1404123,1LIFE HEALTHCARE INC,US,CA,SAN FRANCISCO,94111,"ONE EMBARCADERO CENTER, SUITE 1900",10-K,1231.0,2019.0,FY,onem-20191231.xml,onem,Missing,Missing
1785173,"89BIO, INC.",US,CA,SAN FRANCISCO,94105,535 MISSION STREET,10-K,1231.0,2019.0,FY,etnb-20191231.xml,etnb,37.789116,-122.398384
1023731,8X8 INC /DE/,US,CA,CAMPBELL,95008,675 CREEKSIDE WAY,10-K,331.0,2019.0,FY,a8x8331202010-k_htm.xml,a8x8,37.293076,-121.93552
1591588,"A-MARK PRECIOUS METALS, INC.",US,CA,EL SEGUNDO,90245,2121 ROSECRANS AVENUE,10-K,630.0,2020.0,FY,amrk-20200630.xml,amrk,33.90188,-118.3879
1580808,"A10 NETWORKS, INC.",US,CA,SAN JOSE,95131,2300 ORCHARD PKWY,10-K,1231.0,2019.0,FY,aten-20191231.xml,aten,37.40498,-121.88697
934549,ACACIA RESEARCH CORP,US,CA,IRVINE,92614,4 PARK PLAZA,10-K,1231.0,2019.0,FY,actg-20191231.xml,actg,33.678505,-117.83859
1070494,ACADIA PHARMACEUTICALS INC,US,CA,SAN DIEGO,92130,3611 VALLEY CENTRE DRIVE,10-K,1231.0,2019.0,FY,acad-10k_20191231_htm.xml,acad,32.937492,-117.23574
1138723,ACCURAY INC,US,CA,SUNNYVALE,94089,1310 CHESAPEAKE TERRACE,10-K,630.0,2020.0,FY,aray-10k_20200630_htm.xml,aray,37.410248,-122.0021
1427925,ACELRX PHARMACEUTICALS INC,US,CA,REDWOOD CITY,94063,351 GALVESTON DRIVE,10-K,1231.0,2019.0,FY,acrx-20191231.xml,acrx,37.499004,-122.214836
1680062,"ACM RESEARCH, INC.",US,CA,FREMONT,94539,"42307 OSGOOD ROAD, SUITE I",10-K,1231.0,2019.0,FY,acmr-20191231.xml,acmr,37.527157,-121.95047
718877,"ACTIVISION BLIZZARD, INC.",US,CA,SANTA MONICA,90405,3100 OCEAN PARK BLVD,10-K,1231.0,2019.0,FY,atvi-12312019x10xk_htm.xml,atvi,34.02035,-118.45312
1328143,ADAMAS PHARMACEUTICALS INC,US,CA,EMERYVILLE,94608,"1900 POWELL ST., SUITE 1000",10-K,1231.0,2019.0,FY,adms-20191231_htm.xml,adms,37.83792,-122.29758
887247,ADAMIS PHARMACEUTICALS CORP,US,CA,SAN DIEGO,92130,11682 EL CAMINO REAL,10-K,1231.0,2019.0,FY,admp-20191231.xml,admp,32.930855,-117.23684
1395848,ADESTO TECHNOLOGIES CORP,US,CA,SANTA CLARA,95054,3600 PETERSON WAY,10-K,1231.0,2019.0,FY,iots-20191231.xml,iots,37.386196,-121.98414
796343,ADOBE INC.,US,CA,SAN JOSE,95110-2704,345 PARK AVE,10-K,1130.0,2019.0,FY,adbe10kfy19_htm.xml,adbe,Missing,Missing
1563568,"ADOMANI, INC.",US,CA,CORONA,92880,4740 GREEN RIVER ROAD,10-K,1231.0,2019.0,FY,adom-20191231.xml,adom,33.876713,-117.66153
1435049,"ADURO BIOTECH, INC.",US,CA,BERKELEY,94710,740 HEINZ AVENUE,10-K,1231.0,2019.0,FY,adro-20191231.xml,adro,37.852837,-122.29516
2488,ADVANCED MICRO DEVICES INC,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,10-K,1231.0,2019.0,FY,amdform10-kfy2019_htm.xml,amdf,37.382294,-121.97213
